Running for 570.0 seconds (38 samples at 15.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
12:24:51   1.1   0.0   0.5  98.5   0.0    2  12513   6919  111   78  111  36.28 
12:25:06   1.2   0.0   0.5  98.3   0.0    2  12178   7034  112   78  113  36.20 
12:25:21   1.1   0.0   0.5  98.4   0.0    3  12743   7230  106   77  109  36.74 
12:25:36   1.1   0.0   0.5  98.4   0.0    2  12444   7102  110   76  113  36.33 
12:25:51   1.2   0.0   0.5  98.3   0.0    2  12508   6926  115   80  114  36.12 
12:26:06   3.8   0.0   1.5  94.8   0.0    2  32816  21607  110   76  109  43.36 
12:26:21   4.3   0.0   1.8  93.9   0.0    2  39052  26146  105   74  104  44.17 
12:26:36   2.9   0.0   1.2  95.9   0.0    5  27655  18738  116   78  114  41.66 
12:26:51   4.5   0.0   1.2  94.2   0.0    3  30319  21125  114   81  118  43.52 
12:27:06   6.3   0.0   1.8  91.9   0.0    4  43301  32280  117   75  110  46.57 
12:27:21   5.4   0.0   1.8  92.8   0.0    4  40081  31106  106   75  108  45.05 
12:27:36   3.9   0.0   1.3  94.9   0.0    2  33445  28269  106   75  104  43.63 
12:27:51   3.1   0.0   1.2  95.8   0.0    6  29384  25106  111   79  113  43.14 
12:28:06   3.1   0.0   1.2  95.7   0.0    2  28260  21538  113   76  110  42.46 
12:28:21   3.0   0.0   1.2  95.8   0.0    2  26390  20063   98   75  102  42.41 
12:28:36   3.3   0.0   1.0  95.7   0.0    4  24154  19312  116   76  114  42.39 
12:28:51   4.1   0.0   1.0  94.9   0.0    1  24094  19497  112   80  114  43.51 
12:29:06   3.8   0.0   1.0  95.3   0.0    1  25397  19461  108   76  105  42.67 
12:29:21   4.6   0.0   1.0  94.4   0.0    2  24371  18650   81   58   84  43.57 
12:29:36   2.8   0.0   0.9  96.3   0.0    4  21946  16323  105   74  102  41.59 
12:29:51   2.3   0.0   0.9  96.8   0.0    2  21456  14764  122   79  123  41.17 
12:30:06   3.1   0.0   1.3  95.6   0.0    1  29730  22317  113   75  111  42.89 
12:30:21   3.3   0.0   1.3  95.5   0.0    2  29570  22611  102   75  105  43.00 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
12:30:36   2.6   0.0   0.6  96.9   0.0    2  14744   8619  119   76  116  41.57 
12:30:51   2.1   0.0   0.7  97.2   0.0    1  17538  11260  117   79  117  39.69 
12:31:06   3.2   0.0   1.2  95.7   0.0    4  26358  19636  109   75  110  42.89 
12:31:21   3.4   0.0   1.4  95.3   0.0    2  31014  22978  103   75  104  44.10 
12:31:36   2.0   0.0   0.8  97.2   0.0    3  19818  11946  110   76  108  39.49 
12:31:51   1.3   0.0   0.5  98.3   0.0    2  13134   7202  113   81  113  37.23 
12:32:06   1.1   0.0   0.5  98.4   0.0    1  12544   6928  105   74  104  36.55 
12:32:21   1.1   0.0   0.6  98.3   0.0    2  12419   7121  104   76  104  37.08 
12:32:36   1.1   0.0   0.5  98.5   0.0    2  12719   7000  109   76  115  36.06 
12:32:51   1.1   0.0   0.7  98.2   0.0    3  12528   7281  115   81  116  37.75 
12:33:06   1.1   0.0   0.8  98.1   0.0    2  12278   6892  114   78  114  38.57 
12:33:21   1.1   0.0   0.9  98.0   0.0    2  12533   7122  107   77  108  38.86 
12:33:36   1.1   0.0   0.8  98.1   0.0    2  12251   6915  112   77  115  38.51 
12:33:51   1.3   0.0   0.9  97.9   0.0    1  12550   7468  129   94  121  39.67 
12:34:06   1.2   0.0   0.8  98.0   0.0    1  12158   6953  110   76  113  38.79 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Average   2.6   0.0   1.0  96.5   0.0  2.4 21799.9 15248.5 110.1 76.8 110.2  40.66 
 GeoMean   2.2   0.0   0.9  96.5   0.0  2.1 19933.1 13150.1 109.9 76.6 110.0  40.55 
  StdDev   1.4   0.0   0.4   1.7   0.0  1.2 9187.8 7945.7  7.5  4.6  6.7   3.00 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Minimum   1.1   0.0   0.5  91.9   0.0  1.0 12158.2 6891.8 81.0 58.0 84.0  36.06 
 Maximum   6.3   0.0   1.8  98.5   0.0  6.0 43301.3 32279.7 129.0 94.0 123.0  46.57 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
Summary:
CPU:  40.66 Watts on average with standard deviation 3.00  
Note: power read from RAPL domains: dram, package-0, dram, package-1.
These readings do not cover all the hardware in this device.
