Linux 5.15.0-125-generic (gl5) 	01/02/2025 	_x86_64_	(32 CPU)

12:24:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:24:51 PM     all      0.83      0.00      0.58      0.00      0.00     98.59
12:25:06 PM     all      0.77      0.00      0.53      0.00      0.00     98.70
12:25:21 PM     all      0.85      0.00      0.63      0.00      0.00     98.51
12:25:36 PM     all      0.53      0.00      0.52      0.00      0.00     98.95
12:25:51 PM     all      0.80      0.00      0.53      0.00      0.00     98.67
12:26:06 PM     all      6.20      0.00      1.18      0.00      0.00     92.62
12:26:21 PM     all      7.17      0.00      1.66      0.00      0.00     91.17
12:26:36 PM     all      3.83      0.00      1.64      0.00      0.00     94.53
12:26:51 PM     all      4.89      0.00      1.93      0.00      0.00     93.18
12:27:06 PM     all      4.81      0.00      1.59      0.00      0.00     93.60
12:27:21 PM     all      4.90      0.00      2.07      0.00      0.00     93.03
12:27:36 PM     all      3.91      0.00      2.42      0.00      0.00     93.67
12:27:51 PM     all      3.49      0.00      2.39      0.00      0.00     94.12
12:28:06 PM     all      3.73      0.00      2.00      0.00      0.00     94.27
12:28:21 PM     all      4.90      0.00      2.56      0.00      0.00     92.54
12:28:36 PM     all      4.60      0.00      2.69      0.00      0.00     92.72
12:28:51 PM     all      5.57      0.00      3.01      0.00      0.00     91.42
12:29:06 PM     all      3.41      0.00      2.13      0.00      0.00     94.45
12:29:21 PM     all      3.92      0.00      2.22      0.00      0.00     93.86
12:29:36 PM     all      3.78      0.00      2.20      0.00      0.00     94.02
12:29:51 PM     all      3.54      0.00      2.05      0.00      0.00     94.41
12:30:06 PM     all      2.56      0.00      1.56      0.00      0.00     95.88
12:30:21 PM     all      2.32      0.00      1.60      0.00      0.00     96.07
12:30:36 PM     all      2.78      0.00      1.90      0.00      0.00     95.32
12:30:51 PM     all      3.95      0.00      2.49      0.00      0.00     93.55
12:31:06 PM     all      2.63      0.00      2.14      0.00      0.00     95.23
12:31:21 PM     all      3.52      0.00      1.95      0.00      0.00     94.53
12:31:36 PM     all      3.46      0.00      1.19      0.00      0.00     95.35
12:31:51 PM     all      0.97      0.00      0.58      0.00      0.00     98.45
12:32:06 PM     all      0.53      0.00      0.56      0.00      0.00     98.91
12:32:21 PM     all      0.86      0.00      0.65      0.00      0.00     98.48
12:32:36 PM     all      0.80      0.00      0.59      0.00      0.00     98.62
12:32:51 PM     all      1.13      0.00      0.45      0.00      0.00     98.42
12:33:06 PM     all      0.80      0.00      0.34      0.00      0.00     98.86
12:33:21 PM     all      0.63      0.00      0.44      0.00      0.00     98.93
12:33:36 PM     all      0.78      0.00      0.38      0.01      0.00     98.84
12:33:51 PM     all      0.79      0.00      0.35      0.00      0.00     98.86
12:34:06 PM     all      0.80      0.00      0.33      0.00      0.00     98.87
Average:        all      2.78      0.00      1.42      0.00      0.00     95.80
