Time,Watts
12:24:51,29.17
12:25:06,29.03
12:25:21,29.54
12:25:36,28.39
12:25:51,28.82
12:26:06,42.02
12:26:21,45.78
12:26:36,41.37
12:26:51,44.99
12:27:06,43.15
12:27:21,47.53
12:27:36,50.79
12:27:51,50.30
12:28:06,48.87
12:28:21,46.93
12:28:36,51.70
12:28:51,56.12
12:29:06,46.99
12:29:21,45.64
12:29:36,47.89
12:29:51,43.68
12:30:06,43.06
12:30:21,39.67
12:30:36,41.01
12:30:51,44.21
12:31:06,41.97
12:31:21,43.16
12:31:36,39.04
12:31:51,29.45
12:32:06,29.17
12:32:21,29.75
12:32:36,29.12
12:32:51,29.28
12:33:06,27.18
12:33:21,27.99
12:33:36,27.89
12:33:51,27.42
12:34:06,26.90
