Running for 570.0 seconds (38 samples at 15.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
13:33:57   2.0   0.0   2.2  95.6   0.1    3   9230   4055   54   12   59   5.74 
13:34:12   2.0   0.0   1.8  96.1   0.1    1   8544   3835   49   13   58   4.90 
13:34:27   1.9   0.0   1.6  96.4   0.1    1   7821   3678   42   10   39   4.95 
13:34:42   1.8   0.0   2.1  95.9   0.1    1   8144   3798   49   11   52   5.48 
13:34:57   2.1   0.0   1.6  96.2   0.1    1   7672   3614   52   13   48   4.89 
13:35:12   3.0   0.0   1.7  95.1   0.1    2   8248   3790   55   13   57   6.22 
13:35:27  42.8   0.0  17.3  38.6   1.3   46  97783  43739  127    9   45  40.59 
13:35:42  52.8   0.0  26.0  17.8   3.4    5  89141  45970  234   12   46  46.31 
13:35:57  40.2   0.0  19.7  37.2   2.9    9 100160  46658   55   11   50  39.18 
13:36:12  40.3   0.0  20.7  34.6   4.4   12  98342  45308   58   14   54  39.97 
13:36:27  39.0   0.0  20.8  35.8   4.4   13  99739  45250   45   10   46  40.01 
13:36:42  43.0   0.0  24.4  29.4   3.1   11  96085  44245   50   12   47  43.30 
13:36:57  47.1   0.0  24.2  24.9   3.9   86  91977  43357   56   11   51  45.22 
13:37:12  59.0   0.0  26.9  11.5   2.6   43  78099  39799  118   14   45  48.44 
13:37:27  36.9   0.0  21.1  39.3   2.6   11  95760  42806   43    9   44  40.97 
13:37:42  37.5   0.0  25.0  34.3   3.2    2  94912  42841   46   12   45  42.14 
13:37:57  42.0   0.0  23.8  31.3   2.9    6  96538  46396   44   12   42  43.51 
13:38:12  40.5   0.0  25.7  31.6   2.2   42 122479  54935   58   16   57  43.94 
13:38:27  38.8   0.0  24.1  33.4   3.8    8 103764  46925   43    9   44  42.64 
13:38:42  37.9   0.0  24.7  35.2   2.2   22  92585  42570   42   13   43  41.88 
13:38:57  35.4   0.0  22.0  39.2   3.4   12  95834  43614   48   11   49  41.11 
13:39:12  37.9   0.0  20.9  36.9   4.3    1  95405  43089   46   14   46  42.14 
13:39:27  33.1   0.0  20.6  43.7   2.6   10  92563  41943   38   10   40  39.34 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
13:39:42  33.3   0.0  24.7  41.1   0.9   31  97149  43542   44   12   42  40.67 
13:39:57  34.4   0.0  21.7  39.6   4.3    4  96408  42982   42   12   43  40.55 
13:40:12  36.8   0.0  21.6  40.5   1.2    2  94483  41748   55   16   54  40.05 
13:40:27  32.1   0.0  19.8  46.1   2.0   13  94131  41957   36    9   36  38.53 
13:40:42  33.2   0.0  24.6  40.5   1.7    4  92847  42449   53   14   54  39.80 
13:40:57  34.3   0.0  21.5  42.1   2.0    6  95033  42591   53   16   53  39.13 
13:41:12  31.3   0.0  25.5  40.6   2.6    9 100392  46107   60   15   54  39.43 
13:41:27  34.3   0.0  24.7  37.8   3.2    7 106928  47850   40    9   44  39.55 
13:41:42  29.9   0.0  23.3  42.4   4.4   12 119053  48688   48   12   45  37.22 
13:41:57  17.3   0.0  18.6  58.0   6.0    2  73059  34739   53   11   56  29.86 
13:42:12   3.9   0.0   9.8  81.6   4.7    1  33350  13317   51   16   47  15.42 
13:42:27   2.2   0.0   7.8  89.8   0.1    1  25546   8912   49   14   53  11.68 
13:42:42   2.2   0.0   9.7  88.0   0.1    4  70018  19241   44   12   41  13.51 
13:42:57   2.5   0.0   8.4  88.8   0.3    5  26032   9096   64   29   59  12.46 
13:43:12   2.3   0.0   9.1  88.4   0.1    1  34108  12156   60   16  414  12.29 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Average  27.5   0.0  17.6  52.5   2.3 11.8 74983.3 33620.6 58.0 12.7 57.9  31.66 
 GeoMean  16.6   0.0  13.5  46.4   1.3  5.6 57181.5 25201.4 53.4 12.4 50.7  25.46 
  StdDev  17.3   0.0   8.5  26.4   1.6 16.9 36311.6 16968.4 33.9  3.4 58.8  14.96 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Minimum   1.8   0.0   1.6  11.5   0.1  1.0 7672.3 3613.7 36.0  9.0 36.0   4.89 
 Maximum  59.0   0.0  26.9  96.4   6.0 86.0 122479.4 54934.7 234.0 29.0 414.0  48.44 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
Summary:
CPU:  31.66 Watts on average with standard deviation 14.96 
Note: power read from RAPL domains: dram, package-0, core.
These readings do not cover all the hardware in this device.
