Linux 5.15.0-122-generic (GreenLab-STF) 	02-01-25 	_x86_64_	(8 CPU)

13:42:48        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:43:03        all      2.28      0.00      9.13      0.22      0.00     88.37
13:43:18        all      2.13      0.00     10.10      0.14      0.00     87.64
13:43:33        all      2.14      0.00      9.59      0.10      0.00     88.16
13:43:48        all      2.00      0.00      8.24      0.10      0.00     89.66
13:44:03        all      1.91      0.00      8.25      0.09      0.00     89.74
13:44:18        all     24.68      0.00     22.30      0.90      0.00     52.12
13:44:33        all     43.89      0.00     46.06      0.85      0.00      9.20
13:44:48        all     28.34      0.00     37.46      2.49      0.00     31.71
13:45:03        all     24.14      0.00     32.29      3.50      0.00     40.07
13:45:18        all     24.95      0.00     36.98      2.82      0.00     35.25
13:45:33        all     30.61      0.00     43.11      3.21      0.00     23.07
13:45:48        all     39.94      0.00     49.45      1.60      0.00      9.02
13:46:03        all     26.66      0.00     45.32      2.81      0.00     25.20
13:46:18        all     19.26      0.00     37.73      2.37      0.00     40.65
13:46:33        all     27.41      0.00     42.50      1.68      0.00     28.41
13:46:48        all     34.30      0.00     45.96      1.24      0.00     18.50
13:47:03        all     38.94      0.00     48.95      0.84      0.00     11.27
13:47:18        all     34.66      0.00     53.25      0.87      0.00     11.22
13:47:33        all     25.24      0.00     44.66      5.00      0.00     25.10
13:47:48        all     28.36      0.00     45.18      1.25      0.00     25.22
13:48:03        all     27.06      0.00     43.31      2.10      0.00     27.53
13:48:18        all     22.76      0.00     46.13      0.98      0.00     30.13
13:48:33        all     22.01      0.00     45.70      1.03      0.00     31.27
13:48:48        all     21.16      0.00     44.23      1.16      0.00     33.46
13:49:03        all     23.00      0.00     43.70      1.71      0.00     31.59
13:49:18        all     22.91      0.00     39.28      2.34      0.00     35.46
13:49:33        all     25.28      0.00     37.50      2.64      0.00     34.58
13:49:48        all     23.73      0.00     32.61      2.36      0.00     41.31
13:50:03        all     22.04      0.00     22.68      4.21      0.00     51.08
13:50:18        all      2.57      0.00      1.84      6.04      0.00     89.55
13:50:33        all      2.42      0.00      2.72      0.39      0.00     94.47
13:50:48        all      2.64      0.00      1.64      0.08      0.00     95.65
13:51:03        all      2.43      0.00      1.46      0.40      0.00     95.72
13:51:18        all      2.81      0.00      1.45      0.13      0.00     95.61
13:51:33        all      2.36      0.00      3.12      0.14      0.00     94.38
13:51:48        all      2.05      0.00      1.32      0.15      0.00     96.48
13:52:03        all      2.15      0.00      1.17      0.61      0.00     96.07
13:52:18        all      1.77      0.00      1.13      0.15      0.00     96.95
Average:        all     18.20      0.00     27.50      1.54      0.00     52.76
