server,service_name,job,avg_service_time
gl2,account-service,oauth_token,0.1247
gl2,account-service,user_getUserInfo,0.0079
gl2,billing-service,address_getAddress,0.0101
gl2,billing-service,address_createAddress,0.0388
gl2,catalog-service,product_getAll,0.068
gl2,catalog-service,image_get,0.0005
gl2,catalog-service,product_get,0.0168
gl2,catalog-service,review_getAllForProduct,0.0041
gl2,payment-service,payment_getAll,0.4786
gl2,payment-service,payment_create,1.1923
gl2,order-service,cartItem_add,0.0811
gl2,order-service,order_create,1.5055
gl2,order-service,order_getById,0.2987
gl2,order-service,order_previewOrder,0.3701
gl2,order-service,cart_get,0.0333
gl5,account-service,oauth_token,0.1212
gl5,account-service,user_getUserInfo,0.0073
gl5,billing-service,address_getAddress,0.0186
gl5,billing-service,address_createAddress,0.2786
gl5,catalog-service,product_getAll,0.0508
gl5,catalog-service,image_get,0.0006
gl5,catalog-service,product_get,0.0323
gl5,catalog-service,review_getAllForProduct,0.0047
gl5,payment-service,payment_getAll,0.4946
gl5,payment-service,payment_create,1.8734
gl5,order-service,cartItem_add,0.1706
gl5,order-service,order_create,1.7857
gl5,order-service,order_getById,0.304
gl5,order-service,order_previewOrder,0.3741
gl5,order-service,cart_get,0.0747
gl6,account-service,oauth_token,0.1212
gl6,account-service,user_getUserInfo,0.0073
gl6,billing-service,address_getAddress,0.0186
gl6,billing-service,address_createAddress,0.2788
gl6,catalog-service,product_getAll,0.068
gl6,catalog-service,image_get,0.0005
gl6,catalog-service,product_get,0.0168
gl6,catalog-service,review_getAllForProduct,0.0041
gl6,payment-service,payment_getAll,0.2546
gl6,payment-service,payment_create,1.4223
gl6,order-service,cartItem_add,0.081
gl6,order-service,order_create,1.5053
gl6,order-service,order_getById,0.2989
gl6,order-service,order_previewOrder,0.3701
gl6,order-service,cart_get,0.0333
gl2,mysqld,,0.0035917061341190423
gl2,gateway-server_replica_1,,0.11468478260869566
gl2,gateway-server_replica_2,,0.1129200767263427
gl2,gateway-server_replica_3,,0.11061061381074168
