Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,14.948771391405042
105,13.29640633515964
120,7.000930391519131
135,3.998288486547524
150,1.2161963624154712
165,4.594609434013818
180,3.1997078332713462
195,3.24037382622944
210,3.124688273300043
225,1.1787643675353232
240,0.5007925779117249
255,0.3686613424847997
270,2.4581543113903335
285,2.3424422119541375
300,1.700076869321694
315,1.4483839143212205
330,2.3977056695999943
345,1.0392165434541316
360,1.6355739072480575
375,0.0
390,0.0
405,0.0
420,0.0
435,0.0
450,0.0
465,0.0
480,0.0
495,0.0
510,0.0
525,0.0
540,0.0
555,0.0
570,0.0
585,0.0
600,0.0
