Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,67.76363596805253
105,69.86753541700995
120,47.093071893876335
135,46.21150246101857
150,46.66379668945166
165,45.22064794084332
180,47.89179700351807
195,43.65065527845871
210,46.081523276370795
225,44.46440348786158
240,38.89104670611115
255,43.6540939430808
270,44.25126989659386
285,43.701973136773326
300,40.47466548891009
315,43.302001196271235
330,43.45056038508171
345,39.825719049084086
360,40.5892859067145
375,32.695853174907235
390,30.48637168440341
405,30.713967224277035
420,29.288551189723975
435,26.53807695583098
450,25.06009254324029
465,15.632449716388175
480,11.360182565231717
495,10.669806644813658
510,9.352117026397726
525,6.867875833175315
540,7.117091832716878
555,5.552219346890745
570,4.679444781274962
585,3.477500568562391
600,3.0565433645707856
