Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,13.2906504717465
105,14.054004469659997
120,6.331424239121577
135,6.939356155584139
150,10.097484219623997
165,9.49186247293506
180,9.512637553716212
195,7.442462759855165
210,8.615543173407676
225,9.342715517201036
240,9.35299614229042
255,8.389004517812582
270,8.591507420079912
285,10.494562979796974
300,9.961595347489085
315,8.280957965408678
330,7.780605631295362
345,8.118657062063956
360,8.188098619068501
375,6.005731649152974
390,6.00572902808304
405,4.602317800553772
420,3.050788947739693
435,5.0865376796051756
450,3.6611530595926456
465,3.227492089027223
480,3.02935066489979
495,3.431356043581197
510,1.696619268834675
525,1.862525829703107
540,1.417120177077236
555,1.200306024361383
570,0.8002962323964431
585,0.8765215629827171
600,1.1849045866062529
