Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,4.346898217449413
105,4.595766884343653
120,4.776191397318451
135,4.912269088746703
150,4.336404430607933
165,4.562215724702378
180,4.803867069571087
195,4.4767034173259015
210,4.772791393221029
225,4.692443788687011
240,4.945612735256227
255,4.744168013801388
270,4.199604420122022
285,4.446588027266896
300,4.238226535466725
315,5.0008103070250955
330,4.664509446599615
345,4.4805450133702145
360,4.4806240406903575
375,4.804419005363056
390,4.603738043073625
405,4.388083877585642
420,4.414455315616693
435,4.697042762067828
450,4.600376576625475
465,1.763642693290727
480,0.0
495,0.0
510,0.0
525,0.0
540,0.0
555,0.0
570,0.0
585,0.0
600,0.0
