Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.022553319514853228
105,0.0
120,0.022533638304618738
135,0.02278069574975042
150,0.0
165,0.01194085661535385
180,0.010977983455259157
195,0.0
210,0.012304880788603433
225,0.011212378739343677
240,0.0
255,0.024439855177276464
270,0.0
285,0.011735422658063174
300,0.011996753905679558
315,0.0
330,0.057616793519449754
345,0.05691825124417291
360,0.03558654787102598
375,0.0115994051507726
390,0.022104591355908355
405,0.023169366043603704
420,0.012493864190997959
435,0.0
450,0.0
465,0.0
480,0.0
495,0.0
510,0.0
525,0.0
540,0.01044841067264706
555,0.01109476630020917
570,0.0
585,0.0
600,0.0
