Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0038
15,0.0,0.0038
30,0.0,0.0038
45,0.0,0.0038
60,0.0,0.0038
75,0.0,0.0038
90,14.948771391405042,7.507515185172458
105,13.29640633515964,6.678090716809403
120,7.000930391519131,3.518001021187726
135,3.998288486547524,2.0107888852843687
150,1.2161963624154712,0.6142843584707949
165,4.594609434013818,2.310119340716444
180,3.1997078332713462,1.6099317434045515
195,3.24037382622944,1.6303445265617822
210,3.124688273300043,1.5722747750422363
225,1.1787643675353232,0.595494919456766
240,0.5007925779117249,0.25517884399372537
255,0.3686613424847997,0.18885398479635504
270,2.4581543113903335,1.2377000544541148
285,2.3424422119541375,1.1796169775969227
300,1.700076869321694,0.8571739854784564
315,1.4483839143212205,0.7308336864005085
330,2.3977056695999943,1.2073571333237525
345,1.0392165434541316,0.5254472145853228
360,1.6355739072480575,0.8247959496300495
375,0.0,0.0038
390,0.0,0.0038
405,0.0,0.0038
420,0.0,0.0038
435,0.0,0.0038
450,0.0,0.0038
465,0.0,0.0038
480,0.0,0.0038
495,0.0,0.0038
510,0.0,0.0038
525,0.0,0.0038
540,0.0,0.0038
555,0.0,0.0038
570,0.0,0.0038
585,0.0,0.0038
600,0.0,0.0038
