Time (s),power_consumption
0,7.2976
15,7.2976
30,7.2976
45,7.2976
60,7.2976
75,17.83904952175664
90,50.2
105,50.2
120,46.180888199740814
135,44.68719571134796
150,40.142727214981186
165,39.94387237137017
180,41.9752001125118
195,39.30399048187615
210,40.766826187394784
225,39.87099736511587
240,38.62313757361318
255,41.693914585816096
270,44.88803251731846
285,41.940946390957244
300,35.8172355755921
315,36.625875448418014
330,36.58291035297264
345,37.368193373018
360,36.002800182829624
375,36.24719959335857
390,35.74129856762788
405,19.236071952529407
420,18.599053526687648
435,17.369866591560864
450,16.70935535757409
465,12.496141778253877
480,10.586865588402055
495,10.278336589567225
510,9.689461099097144
525,8.579253709846048
540,8.690628340041172
555,7.991286826125474
570,7.60124387275178
585,7.064095004090532
600,6.875969229626683
