Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0038
15,0.0,0.0038
30,0.0,0.0038
45,0.0,0.0038
60,0.0,0.0038
75,0.0,0.0038
90,11.763366285316,5.908562867309791
105,13.522760352323395,6.7917118319729575
120,9.273882354758692,4.658936534559383
135,9.20375970357746,4.623737628327149
150,10.339298691066835,5.193735049565292
165,7.919025256848571,3.9788497559782234
180,7.808780182772152,3.9235109181046752
195,8.952656140435636,4.497693181565353
210,8.040074115206169,4.03961168301712
225,7.026752719814449,3.530962848743501
240,7.35769246360604,3.6970820244166154
255,9.31973847883432,4.681954566312633
270,8.892226621811847,4.467359859537918
285,7.612004648891891,3.824737077567072
300,7.111945210790364,3.573726241898753
315,9.249636525969514,4.64676604984871
330,7.620972114687464,3.8292384046327497
345,7.00676815780325,3.5209313580272354
360,6.645276686790207,3.339476376254586
375,6.748501075803836,3.3912910970126457
390,5.691044617546269,2.8604881383127605
405,5.729572302323281,2.879827572018799
420,6.592933331008932,3.313202000699906
435,4.029068311093537,2.0262391875731343
450,2.8548987560669743,1.4368506893928907
465,2.7733426137447696,1.3959126050805524
480,2.3165608928512698,1.1666255388974092
495,2.2225845705484693,1.1194529962016508
510,2.517312488277006,1.2673952112405027
525,1.679691055974923,0.8469410818392845
540,2.058222883979061,1.0369496752878975
555,1.5921073971603934,0.8029774132934254
570,1.046018694803919,0.5288616360811649
585,0.7761533368672424,0.3933994812805548
600,0.0,0.0038
