Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0038
15,0.0,0.0038
30,0.0,0.0038
45,0.0,0.0038
60,0.0,0.0038
75,0.0,0.0038
90,4.346898217449413,2.1857777230273423
105,4.595766884343653,2.310700336798909
120,4.776191397318451,2.4012665861807645
135,4.912269088746703,2.4695724163254726
150,4.336404430607933,2.1805102407968198
165,4.562215724702378,2.293858929603055
180,4.803867069571087,2.415158721976042
195,4.4767034173259015,2.250935000767744
210,4.772791393221029,2.3995599133240146
225,4.692443788687011,2.359228469056909
240,4.945612735256227,2.4863096598146868
255,4.744168013801388,2.3851920645437725
270,4.199604420122022,2.111841833933291
285,4.446588027266896,2.2358182193429457
300,4.238226535466725,2.1312286681959485
315,5.0008103070250955,2.514016743334931
330,4.664509446599615,2.345206490834036
345,4.4805450133702145,2.2528633360013397
360,4.4806240406903575,2.2529030047130134
375,4.804419005363056,2.4154357727700506
390,4.603738043073625,2.3147015555773236
405,4.388083877585642,2.2064513593606447
420,4.414455315616693,2.2196888191375868
435,4.697042762067828,2.3615369789330916
450,4.600376576625475,2.313014227156077
465,1.763642693290727,0.8890816136095999
480,0.0,0.0038
495,0.0,0.0038
510,0.0,0.0038
525,0.0,0.0038
540,0.0,0.0038
555,0.0,0.0038
570,0.0,0.0038
585,0.0,0.0038
600,0.0,0.0038
