Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0038
15,0.0,0.0038
30,0.0,0.0038
45,0.0,0.0038
60,0.0,0.0038
75,0.0,0.0038
90,0.0,0.0038
105,0.0,0.0038
120,1.3843183053067512,0.6986751851683874
135,0.0,0.0038
150,0.0,0.0038
165,0.0,0.0038
180,0.4690498177098628,0.23924518459727817
195,0.0,0.0038
210,0.0,0.0038
225,3.4803775228081557,1.7508172621038276
240,0.0,0.0038
255,0.0,0.0038
270,0.8288880700658415,0.41987031342639003
285,0.0,0.0038
300,1.8566601440867792,0.935772839246088
315,0.0,0.0038
330,0.6876754492449749,0.34898694385390616
345,1.551356385115952,0.7825219537855735
360,0.0,0.0038
375,0.0,0.0038
390,0.5216029590972759,0.2656248645543869
405,0.0,0.0038
420,0.0,0.0038
435,0.0,0.0038
450,3.019431281572726,1.519439764960809
465,0.0,0.0038
480,0.0,0.0038
495,0.0,0.0038
510,0.0,0.0038
525,0.0,0.0038
540,0.0,0.0038
555,0.0,0.0038
570,0.0,0.0038
585,0.0,0.0038
600,0.0,0.0038
