Time,CPU,user,nice,system,iowait,steal,idle,cpu_utilization
00:06:28,all,1.08,0.0,0.54,0.35,0.0,98.03,1.97
00:06:43,all,0.91,0.0,0.48,0.1,0.0,98.51,1.49
00:06:58,all,0.96,0.0,0.56,0.13,0.0,98.34,1.66
00:07:13,all,0.97,0.0,0.59,0.19,0.0,98.25,1.75
00:07:28,all,5.6,0.0,1.48,0.18,0.0,92.74,7.26
00:07:43,all,75.73,0.0,13.92,0.02,0.0,10.33,89.67
00:07:58,all,85.75,0.0,13.75,0.0,0.0,0.49,99.51
00:08:13,all,86.1,0.0,13.59,0.0,0.0,0.32,99.68
00:08:28,all,86.52,0.0,13.47,0.0,0.0,0.02,99.98
00:08:43,all,86.39,0.0,13.6,0.0,0.0,0.01,99.99
00:08:58,all,85.89,0.0,14.1,0.0,0.0,0.01,99.99
00:09:13,all,86.54,0.0,13.42,0.0,0.0,0.03,99.97
00:09:28,all,86.3,0.0,13.68,0.0,0.0,0.02,99.98
00:09:43,all,86.2,0.0,13.78,0.0,0.0,0.02,99.98
00:09:58,all,86.93,0.0,13.06,0.0,0.0,0.01,99.99
00:10:13,all,86.38,0.0,13.6,0.0,0.0,0.02,99.98
00:10:28,all,86.53,0.0,13.44,0.0,0.0,0.03,99.97
00:10:43,all,86.66,0.0,13.34,0.0,0.0,0.0,100.0
00:10:58,all,86.8,0.0,13.17,0.0,0.0,0.03,99.97
00:11:13,all,86.55,0.0,13.44,0.0,0.0,0.02,99.98
00:11:28,all,86.73,0.0,13.27,0.0,0.0,0.0,100.0
00:11:43,all,86.79,0.0,13.21,0.0,0.0,0.01,99.99
00:11:58,all,86.93,0.0,13.02,0.0,0.0,0.05,99.95
00:12:13,all,87.54,0.0,12.41,0.0,0.0,0.06,99.94
00:12:28,all,85.93,0.0,14.07,0.0,0.0,0.0,100.0
00:12:43,all,85.28,0.0,14.4,0.0,0.0,0.32,99.68
00:12:58,all,14.08,0.0,5.06,0.23,0.0,80.63,19.37
00:13:13,all,3.48,0.0,1.82,0.58,0.0,94.12,5.88
00:13:28,all,0.87,0.0,0.48,0.41,0.0,98.24,1.76
00:13:43,all,0.91,0.0,0.51,0.33,0.0,98.24,1.76
00:13:58,all,0.86,0.0,0.48,0.53,0.0,98.14,1.86
00:14:13,all,0.99,0.0,0.56,0.35,0.0,98.1,1.9
