Time (s),CPU Utilization (%)
0,0.3530236124120545
15,0.2606599378865498
30,0.2645260650114112
45,0.3379257357158113
60,0.3224989718241069
75,0.3337172471036905
90,100.0
105,100.0
120,100.0
135,100.0
150,100.0
165,100.0
180,100.0
195,100.0
210,100.0
225,100.0
240,100.0
255,100.0
270,100.0
285,100.0
300,100.0
315,100.0
330,100.0
345,100.0
360,98.48385833195348
375,73.6607488329504
390,63.75208407702406
405,29.488773176777762
420,7.685593857819108
435,5.915038478722509
450,2.138396077701192
465,1.5462101058029034
480,0.07016060483546921
495,0.0
