Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,70.10447917341399
105,63.19301144470146
120,69.85482125233123
135,66.4284623161124
150,66.96022830998164
165,67.92112618089021
180,63.21507942124926
195,70.10511838404285
210,70.93827792938245
225,69.87429369806522
240,70.68468095016054
255,69.32634648886167
270,69.21207498953689
285,69.71557156130753
300,64.7185731143873
315,62.69868746635652
330,68.81248013230505
345,68.11687372502007
360,51.04229734398773
375,31.28906677438245
390,23.146662889918336
405,14.787635495410548
420,7.432948526551633
435,5.78625475622759
450,2.0702168775685896
465,1.5068432393924374
480,0.0
495,0.0
