Time (s),CPU Utilization (%)
0,0.03741191130464541
15,0.04311072717783708
30,0.03594000542824632
45,0.04420134269829002
60,0.053342237341129875
75,0.03560364713571417
90,0.040351617661438764
105,0.03950934154302021
120,0.04207683780767458
135,0.0452184215708141
150,0.04097990005538275
165,0.04661159604051739
180,0.04290618571702354
195,0.043073180033151845
210,0.034132644949329695
225,0.04446568712248026
240,0.043640590446064324
255,0.03403036724259968
270,0.038947875187465265
285,0.030123193604979875
300,0.03543629778320837
315,0.04809665647576281
330,0.035256730015483365
345,0.049750508647280235
360,0.03560771125137654
375,0.040259772867151794
390,0.038125488570458145
405,0.023999141954392088
420,0.01596834074890517
435,0.003457582529286607
450,0.003218056403307289
465,0.0005806759948465252
480,0.0007493995581371254
495,0.0
