Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,35.8551344088519
105,37.062628531012244
120,38.546779849639634
135,41.44694976334509
150,41.002997072168505
165,41.913506387862334
180,40.393651413458755
195,37.57028541961537
210,39.70119350914635
225,40.16630564529682
240,39.50721317694888
255,37.768317186321596
270,39.6523774595539
285,40.30363252769463
300,40.53056624213884
315,40.04989920944159
330,41.02209512251739
345,38.35452953235346
360,40.99706389670648
375,40.07467902998652
390,39.22298143602413
405,13.821503560151951
420,0.0
435,0.0
450,0.0
465,0.0
480,0.0
495,0.0
