Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,1.8148833226985879
105,2.6761604391398945
120,1.9904815821640323
135,2.306088107900447
150,2.0646884997520014
165,2.226478428276656
180,1.9908042663418222
195,2.1345006637740713
210,2.2302376636004326
225,1.6238366702479623
240,2.6929677307348983
255,2.256735498312815
270,1.5676453934725627
285,2.2702899982460663
300,1.5414824156049987
315,3.1309607287772985
330,2.211760828690385
345,2.311567568209879
360,1.1524584810386915
375,0.205793084826901
390,0.0
405,0.082377501947389
420,0.0
435,0.0
450,0.0
465,0.0
480,0.0
495,0.0
