Time (s),CPU Utilization (%)
0,0.11400211552251492
15,0.11331719565789906
30,0.15277322509632624
45,0.19035116651863865
60,0.12846710932463978
75,0.15939240084525563
90,0.6286584456187703
105,0.6146448835035333
120,0.64486496136133
135,0.6053594011528697
150,0.6447796124498016
165,0.5948170655304569
180,0.5530393837606861
195,0.6246001918718718
210,0.6801715945702533
225,0.6678314118371032
240,0.6860166091067207
255,0.613037338142161
270,0.7035828502744204
285,0.6279388347552844
300,0.7190426580906172
315,0.7070967603013134
330,0.7124114821108144
345,0.7162311466626807
360,0.3970410296357737
375,0.08013826378832994
390,0.024059367159652408
405,0.0
420,0.0
435,0.0
450,0.0
465,0.0
480,0.0
495,0.0
