Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,3.7231287179696
105,3.9275050160480065
120,3.8088882120001695
135,3.8265564334039124
150,3.8235398506782783
165,3.9144553490038345
180,3.867414728269937
195,3.776854131372953
210,3.822056914450813
225,3.6163385437165543
240,3.709567932209761
255,3.72688333916682
270,3.90104721971166
285,3.896252674202075
300,3.83096187140128
315,3.8999788958436445
330,3.8195859159114103
345,3.937488017548434
360,3.7289402095419857
375,1.0781457942114165
390,0.17863663324851364
405,0.0
420,0.0
435,0.0
450,0.0
465,0.0
480,0.0
495,0.0
