Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,8.9375735372545
105,10.119821612911498
120,9.121187247523812
135,10.709109046028535
150,8.727053253466737
165,10.433696456878582
180,10.098739386031605
195,9.28009254852795
210,10.65377654265625
225,9.013529727806022
240,8.504710133946366
255,6.924443912139503
270,8.119159405768864
285,9.096316621463945
300,9.052093400373291
315,10.23828156294791
330,9.789765590773516
345,7.514850033195011
360,8.915998507760658
375,7.8733828682186
390,6.995470342323378
405,6.141958003071542
420,4.977549618797309
435,2.8142001284890097
450,2.6975958553953943
465,2.636042152890315
480,2.5639750250351567
495,1.3483698167888984
