Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.4415589340679841
105,0.4615261939436568
120,0.4385931966327036
135,0.45735052410727134
150,0.4170298427800103
165,0.48595428744480346
180,0.5096026247579332
195,0.4335439904107047
210,0.4279351904809182
225,0.47923888743690307
240,0.4053107932860129
255,0.5480092926807352
270,0.48019499613930977
285,0.4602446237536456
300,0.43936171926033
315,0.49124220385622536
330,0.4434144677768035
345,0.47164633184712834
360,0.39137947573016807
375,0.21509600531781642
390,0.13616630336231042
405,0.10204783969900438
420,0.08049689189887946
435,0.03995580379559325
450,0.02703849761281795
465,0.023405660428672738
480,0.0031754921720986706
495,0.0
