Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.256048092103337
105,0.309213347681702
120,0.3102015078861387
135,0.2540888531129385
150,0.2774460806020393
165,0.258892435045968
180,0.2866547750945193
195,0.3363106888929698
210,0.2962005781042475
225,0.2472260189066454
240,0.3174103995308577
255,0.26058702843641257
270,0.2732711965651581
285,0.2826623551208056
300,0.3660157438951967
315,0.3164137022071803
330,0.2923004694393852
345,0.2719453538780957
360,0.22883602769679662
375,0.10690273159684607
390,0.03968769542326318
405,0.019454361409053027
420,0.014845123556508466
435,0.0035240317503975596
450,0.0
465,0.0038148609469083176
480,0.0037668254325529333
495,0.0
