Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.1439194121870659
105,0.2032707366678624
120,0.17050351681408824
135,0.19705918205922404
150,0.16025859287129882
165,0.17962213400282556
180,0.18645319849072314
195,0.17965864687307928
210,0.1863841260603646
225,0.1841057403807775
240,0.21023352358119213
255,0.16487379850043596
270,0.17732455536745892
285,0.13393993990460776
300,0.15470965269088313
315,0.1986936876984476
330,0.13434501905556537
345,0.14624811643424585
360,0.17579241159689532
375,0.11607378722097371
390,0.0828015978798547
405,0.061635505560578105
420,0.047884565199350894
435,0.025927642313306968
450,0.04140452954106028
465,0.015414863721475536
480,0.015825299334041806
495,0.0
