Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,85.36886495158471
105,84.8676519988469
120,85.52886204000609
135,85.3735665057786
150,85.31790026100612
165,84.82381717320821
180,84.98682095850315
195,85.16237158394921
210,84.81818178490067
225,84.88696756022094
240,84.57288677778186
255,85.40832974177036
270,84.14265792383294
285,84.63717613138967
300,85.61843198789457
315,84.89524653639407
330,85.53920967844168
345,85.0913732217618
360,84.75092014241017
375,84.12405164279413
390,84.93711166870432
405,84.84912532501836
420,85.374380870121
435,1.4677303639780572
450,0.0
465,0.0
480,0.0
495,0.0
