Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.14815163339993526
105,0.15059317346168755
120,0.1763027910565145
135,0.1595687162395563
150,0.14878382096781065
165,0.14302386429664043
180,0.1444151648341518
195,0.12507045933815408
210,0.1363494712317321
225,0.15831583753630307
240,0.14693233986152307
255,0.15254955572254683
270,0.1612652787568773
285,0.147906685967047
300,0.1750460984463442
315,0.14621197598904703
330,0.10964575733851614
345,0.14807726170638927
360,0.10484284740295582
375,0.09076435660118624
390,0.12147210207972302
405,0.09676891218492205
420,0.06503953137084313
435,0.060688896637773423
450,0.05129205511743514
465,0.05705319509059721
480,0.02743269040127238
495,0.0607917650530061
