Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,1.7578761827246232
105,1.870883274148008
120,2.1271871975099765
135,1.6991846684144243
150,1.4470299023249025
165,1.8595832275770832
180,2.1521337893251813
195,1.335828018971488
210,1.716533040901671
225,1.9581414535559618
240,1.5574877385848604
255,1.6649885952651047
270,1.7819894992684147
285,2.0466455648607353
300,2.021664890870385
315,1.9076258752711597
330,1.6635023009979488
345,1.422888292345832
360,1.2009010889277172
375,0.47468780580757414
390,0.3925287319432007
405,0.13859198392488187
420,0.07910049366652337
435,0.0
450,0.0
465,0.0
480,0.0
495,0.0
