Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.14195382082279503
105,0.15676416740759672
120,0.17970315249534435
135,0.15040319602753469
150,0.14616821447847636
165,0.11506633632884254
180,0.1340988803482917
195,0.14281618417228226
210,0.13391292991870724
225,0.1422765434419552
240,0.1459215266264543
255,0.1708070455776513
270,0.1252436677277439
285,0.13187360170847
300,0.12406080580139195
315,0.14844653034431465
330,0.12498627926761356
345,0.12498105257276038
360,0.13846886940601857
375,0.12560227001167848
390,0.08902458074182959
405,0.09880790533404844
420,0.05132296962395286
435,0.053770969357696936
450,0.0415043892978574
465,0.029328499184460764
480,0.03956111017620214
495,0.028493818550662464
