Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,3.9846343050740543
105,3.39321310034181
120,3.41670716481161
135,4.146712169453055
150,3.374095368512571
165,3.76743359974241
180,3.895062466702323
195,3.2937990902577736
210,4.699467088195581
225,3.076419413352399
240,3.516103099262578
255,2.608285551270941
270,2.842197510913643
285,3.829753975942994
300,4.495552160215298
315,3.6002778797359127
330,4.217506730740023
345,3.8807828261954054
360,3.17941126657646
375,3.5211039420093724
390,2.634114703418545
405,1.4616624239081568
420,0.6418355585532377
435,0.24739550515027792
450,0.11681856896995442
465,0.0
480,0.0
495,0.0
