Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.0033512484756690456
105,0.013280753161332889
120,0.012437007309403851
135,0.01623165497790641
150,0.0188975530273686
165,0.016031795594283728
180,0.023012188219907404
195,0.013538240123002332
210,0.028449012009992183
225,0.01887579066056978
240,0.010007269586642158
255,0.009371094423422072
270,0.02491210192079135
285,0.0
300,0.0
315,0.013760976351813385
330,0.005423904496503615
345,0.018123522630771088
360,0.013312443633946494
375,0.004797719782620829
390,0.0
405,0.0
420,0.0
435,0.0
450,0.0
465,0.0
480,0.0
495,0.0
