Time (s),CPU Utilization (%)
0,0.010416666666666666
15,0.025
30,0.00625
45,0.008333333333333333
60,0.020833333333333332
75,0.014583333333333334
90,0.052083333333333336
105,0.035416666666666666
120,0.03125
135,0.0625
150,0.04375
165,0.04583333333333333
180,0.03125
195,0.0375
210,0.04375
225,0.04375
240,0.0375
255,0.04583333333333333
270,0.03333333333333333
285,0.016666666666666666
300,0.03958333333333333
315,0.0375
330,0.03125
345,0.027083333333333334
360,0.04583333333333333
375,0.025
390,0.022916666666666665
405,0.027083333333333334
420,0.029166666666666667
435,0.01875
450,0.029166666666666667
465,0.022916666666666665
480,0.014583333333333334
495,0.0
