Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.010990992984119033
105,0.016845520498744375
120,0.0190547226579457
135,0.022998422348894803
150,0.021841389088767642
165,0.004805961141457839
180,0.018192297892129252
195,0.00476107638735573
210,0.0054910803841668205
225,0.027714140723298253
240,0.018630718669756633
255,0.020968488673265142
270,0.019382443362405258
285,0.014609056388774726
300,0.01827849328019237
315,0.014852549780210703
330,0.016510611584940105
345,0.010215099781946452
360,0.009969145591209816
375,0.017237909962387308
390,0.002606693133663628
405,0.003662297185391141
420,0.0
435,0.0
450,0.0
465,0.0
480,0.0
495,0.0
