Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.10748499504229377
105,0.08531133660988438
120,0.07525954183758259
135,0.07396105512617253
150,0.08190298323781943
165,0.07622246357022239
180,0.0508205740088559
195,0.058115256615643464
210,0.062388522738076865
225,0.10366113258989278
240,0.09375021573058744
255,0.07323585810650818
270,0.07526445218962888
285,0.06047132822935461
300,0.06054371800920869
315,0.07611008559021067
330,0.0747766869931736
345,0.08027216566149664
360,0.0803784185071484
375,0.053036444259579346
390,0.024307895455589233
405,0.03664580192296104
420,0.017842133991068657
435,0.022695005964098132
450,0.01596608610943252
465,0.006596425686506049
480,0.007955682480312368
495,0.0
