Server,Container,Pearson_Coefficient,P-Value
gl2,home-timeline-redis,0.9999999999999997,2.0988247026180392e-242
gl2,nginx,1.0,0.0
gl2,post-storage-memcached,1.0,0.0
gl2,url-shorten-mongodb,0.9999999999999999,0.0
gl2,user-mongodb,1.0,0.0
gl2,user-service,1.0,0.0
gl2,user-timeline-redis,1.0,0.0
gl2,user-timeline-service,1.0,0.0
gl5,cassandra,0.9999999999999999,0.0
gl5,compose-post-service,1.0,0.0
gl5,home-timeline-service,1.0,0.0
gl5,jaeger-agent,1.0,0.0
gl5,media-memcached,1.0,0.0
gl5,media-mongodb,1.0,0.0
gl5,post-storage-mongodb,0.9999999999999998,3.2025523416412997e-247
gl5,post-storage-service,1.0,0.0
gl5,social-graph-service,1.0,0.0
gl5,url-shorten-service,1.0,0.0
gl6,jaeger-collector,0.9999999999999997,2.0988247026180392e-242
gl6,jaeger-query,0.9999999999999999,0.0
gl6,media-service,1.0,0.0
gl6,social-graph-mongodb,1.0,0.0
gl6,social-graph-redis,1.0,0.0
gl6,text-service,0.9999999999999996,2.0988247026180392e-242
gl6,unique-id-service,1.0,0.0
gl6,user-mention-service,0.9999999999999998,3.2025523416412997e-247
gl6,user-timeline-mongodb,1.0,0.0
gl2,,1.0,0.0
gl5,,0.9999999999999998,3.2025523416412997e-247
gl6,,0.9999999999999999,0.0
