Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,70.10447917341399,35.89349333678796
105,63.19301144470146,32.35482185968715
120,69.85482125233123,35.76566848119359
135,66.4284623161124,34.01137270584955
150,66.96022830998164,34.283636894710604
165,67.92112618089021,34.77561660461579
180,63.21507942124926,32.36612066367962
195,70.10511838404285,35.893820612629945
210,70.93827792938245,36.320398299843816
225,69.87429369806522,35.77563837340939
240,70.68468095016054,36.1905566464822
255,69.32634648886167,35.49508940229718
270,69.21207498953689,35.43658239464289
285,69.71557156130753,35.69437263938946
300,64.7185731143873,33.1359094345663
315,62.69868746635652,32.10172798277454
330,68.81248013230505,35.231989827740186
345,68.11687372502007,34.875839347210274
360,51.04229734398773,26.13365624012172
375,31.28906677438245,16.020002188483815
390,23.146662889918336,11.851091399638188
405,14.787635495410548,7.571269373650201
420,7.432948526551633,3.8056696455944365
435,5.78625475622759,2.9625624351885267
450,2.0702168775685896,1.059951041315118
465,1.5068432393924374,0.771503738568928
480,0.0,0.0
495,0.0,0.0
