Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,0.998209356926002,0.5110831907461131
105,0.8931006955121016,0.457267556102196
120,0.959726563746305,0.49138000063810816
135,0.9629722343474671,0.49304178398590315
150,0.8760667838281517,0.44854619332001366
165,0.941253941284242,0.48192201793753187
180,0.8590753963037955,0.4398466029075433
195,0.8781985196321973,0.44963764205168505
210,0.9783716094982914,0.5009262640631252
225,1.0624029000148127,0.5439502848075842
240,1.0628630357775926,0.5441858743181274
255,0.9631732422794596,0.4931447000470833
270,0.7570050299751095,0.3875865753472561
285,1.0399401575474496,0.5324493606642943
300,0.993231171761508,0.5085343599418921
315,0.8923120251138936,0.45686375685831354
330,0.9829258240204845,0.503258021898488
345,0.9203760507012504,0.4712325379590402
360,0.8914532998966949,0.4564240895471078
375,0.8045263514604611,0.4119174919477561
390,0.9486097523039962,0.4856881931796461
405,0.6550452996480783,0.33538319341981615
420,0.1550785707017963,0.0794002281993197
435,0.0294041541864669,0.015054926943471054
450,0.0096225240541373,0.0049267323157182975
465,0.0,0.0
480,0.0,0.0
495,0.0,0.0
