Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,35.8551344088519,18.357828817332173
105,37.06262853101224,18.976065807878268
120,38.546779849639634,19.735951283015496
135,41.44694976334509,21.220838278832687
150,41.002997072168505,20.993534500950275
165,41.913506387862334,21.459715270585516
180,40.393651413458755,20.681549523690883
195,37.57028541961537,19.23598613484307
210,39.70119350914635,20.327011076682933
225,40.16630564529682,20.565148490391977
240,39.50721317694888,20.22769314659783
255,37.7683171863216,19.337378399396663
270,39.6523774595539,20.302017259291596
285,40.30363252769463,20.635459854179654
300,40.53056624213884,20.751649915975086
315,40.04989920944159,20.505548395234097
330,41.02209512251739,21.003312702728905
345,38.35452953235346,19.637519120564974
360,40.99706389670648,20.990496715113718
375,40.07467902998652,20.5182356633531
390,39.22298143602413,20.082166495244355
405,13.821503560151951,7.076609822797799
420,0.0,0.0
435,0.0,0.0
450,0.0,0.0
465,0.0,0.0
480,0.0,0.0
495,0.0,0.0
