Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,1.814883322698588,0.9292202612216771
105,2.6761604391398945,1.3701941448396262
120,1.9904815821640325,1.0191265700679846
135,2.306088107900447,1.180717111245029
150,2.0646884997520014,1.057120511873025
165,2.226478428276656,1.1399569552776478
180,1.9908042663418224,1.019291784367013
195,2.1345006637740713,1.0928643398523246
210,2.2302376636004326,1.1418816837634216
225,1.6238366702479623,0.8314043751669568
240,2.6929677307348983,1.378799478136268
255,2.256735498312815,1.1554485751361614
270,1.5676453934725627,0.8026344414579522
285,2.2702899982460663,1.162388479101986
300,1.5414824156049989,0.7892389967897595
315,3.1309607287772985,1.6030518931339768
330,2.211760828690385,1.1324215442894772
345,2.311567568209879,1.183522594923458
360,1.1524584810386915,0.5900587422918101
375,0.205793084826901,0.10536605943137332
390,0.0,0.0
405,0.082377501947389,0.04217728099706317
420,0.0,0.0
435,0.0,0.0
450,0.0,0.0
465,0.0,0.0
480,0.0,0.0
495,0.0,0.0
