Time (s),CPU Utilization (%),power_consumption
0,0.1140021155225149,0.058369083147527624
15,0.113317195657899,0.058018404176844285
30,0.1527732250963262,0.07821989124931902
45,0.1903511665186386,0.09745979725754296
60,0.1284671093246397,0.06577515997421553
75,0.1593924008452556,0.08160890923277087
90,0.6286584456187703,0.3218731241568104
105,0.6146448835035333,0.3146981803538091
120,0.64486496136133,0.330170860217001
135,0.6053594011528697,0.30994401339026934
150,0.6447796124498016,0.33012716157429844
165,0.5948170655304569,0.30454633755159394
180,0.5530393837606861,0.28315616448547126
195,0.6246001918718718,0.31979529823839836
210,0.6801715945702533,0.34824785641996975
225,0.6678314118371032,0.34192968286059683
240,0.6860166091067207,0.351240503862641
255,0.613037338142161,0.31387511712878646
270,0.7035828502744204,0.36023441934050326
285,0.6279388347552844,0.32150468339470567
300,0.7190426580906172,0.368149840942396
315,0.7070967603013134,0.3620335412742725
330,0.7124114821108144,0.364754678840737
345,0.7162311466626807,0.3667103470912926
360,0.3970410296357737,0.20328500717351614
375,0.0801382637883299,0.04103079105962491
390,0.0240593671596524,0.01231839598574203
405,0.0,0.0
420,0.0,0.0
435,0.0,0.0
450,0.0,0.0
465,0.0,0.0
480,0.0,0.0
495,0.0,0.0
