Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,3.7231287179696,1.9062419036004354
105,3.9275050160480065,2.0108825682165796
120,3.8088882120001695,1.9501507645440868
135,3.826556433403912,1.9591968939028028
150,3.8235398506782783,1.9576524035472787
165,3.9144553490038345,2.004201138689963
180,3.867414728269937,1.9801163408742077
195,3.776854131372953,1.9337493152629521
210,3.822056914450813,1.9568931401988163
225,3.6163385437165543,1.851565334382876
240,3.709567932209761,1.8992987812913977
255,3.72688333916682,1.9081642696534118
270,3.90104721971166,1.9973361764923698
285,3.896252674202075,1.9948813691914624
300,3.83096187140128,1.9614524781574554
315,3.899978895843645,1.9967891946719463
330,3.8195859159114103,1.9556279889466421
345,3.937488017548434,2.015993864984798
360,3.7289402095419857,1.909217387285497
375,1.0781457942114163,0.5520106466362452
390,0.1786366332485136,0.09146195622323897
405,0.0,0.0
420,0.0,0.0
435,0.0,0.0
450,0.0,0.0
465,0.0,0.0
480,0.0,0.0
495,0.0,0.0
