Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,0.4415589340679841,0.49896159549682195
105,0.4615261939436568,0.5215245991563322
120,0.4385931966327036,0.49561031219495505
135,0.4573505241072713,0.5168060922412165
150,0.4170298427800103,0.4712437223414116
165,0.4859542874448034,0.5491283448126278
180,0.5096026247579332,0.5758509659764646
195,0.4335439904107047,0.4899047091640963
210,0.4279351904809182,0.4835667652434376
225,0.479238887436903,0.5415399428037004
240,0.4053107932860129,0.45800119641319453
255,0.5480092926807352,0.6192505007292308
270,0.4801949961393097,0.5426203456374199
285,0.4602446237536456,0.5200764248416195
300,0.43936171926033,0.4964787427641729
315,0.4912422038562253,0.5551036903575346
330,0.4434144677768035,0.5010583485877879
345,0.4716463318471283,0.532960354987255
360,0.391379475730168,0.4422588075750899
375,0.2150960053178164,0.24305848600913255
390,0.1361663033623104,0.15386792279941075
405,0.1020478396990043,0.11531405885987486
420,0.0804968918988794,0.09096148784573373
435,0.0399558037955932,0.045150058289020314
450,0.0270384976128179,0.030553502302484225
465,0.0234056604286727,0.026448396284400152
480,0.0031754921720986,0.003588306154471418
495,0.0,0.0
