Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,0.1439194121870659,0.16262893577138446
105,0.2032707366678624,0.2296959324346845
120,0.1705035168140882,0.19266897399991967
135,0.197059182059224,0.2226768757269231
150,0.1602585928712988,0.18109220994456762
165,0.1796221340028255,0.20297301142319282
180,0.1864531984907231,0.2106921142945171
195,0.1796586468730792,0.2030142709665795
210,0.1863841260603646,0.210614062448212
225,0.1841057403807775,0.20803948663027858
240,0.2102335235811921,0.23756388164674708
255,0.1648737985004359,0.18630739230549256
270,0.1773245553674589,0.20037674756522855
285,0.1339399399046077,0.15135213209220671
300,0.1547096526908831,0.1748219075406979
315,0.1986936876984476,0.22452386709924582
330,0.1343450190555653,0.15180987153278883
345,0.1462481164342458,0.16526037157069773
360,0.1757924115968953,0.19864542510449168
375,0.1160737872209737,0.13116337955970028
390,0.0828015978798547,0.0935658056042358
405,0.0616355055605781,0.06964812128345325
420,0.0478845651993508,0.0541095586752664
435,0.0259276423133069,0.02929823581403679
450,0.0414045295410602,0.04678711838139803
465,0.0154148637214755,0.017418796005267315
480,0.0158252993340418,0.017882588247467232
495,0.0,0.0
