Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,0.0,0.0
105,0.0,0.0
120,0.0027809446182667,0.003142467418641371
135,0.0014074240391607,0.001590389164251591
150,0.0,0.0
165,0.0014257504774428,0.0016110980395103642
180,0.0,0.0
195,0.0026466883543153,0.002990757840376289
210,0.0,0.0
225,0.0013731022048363,0.001551605491465019
240,0.0,0.0
255,0.0,0.0
270,0.0,0.0
285,0.0,0.0
300,0.0011085777936795,0.001252692906857835
315,0.0,0.0
330,0.0013267226047644,0.0014991965433837722
345,0.0,0.0
360,0.0,0.0
375,0.0,0.0
390,0.0,0.0
405,0.0,0.0
420,0.0,0.0
435,0.0,0.0
450,0.0,0.0
465,0.0,0.0
480,0.0,0.0
495,0.0,0.0
