Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,0.1481516333999352,0.1674113457419268
105,0.1505931734616875,0.17017028601170686
120,0.1763027910565145,0.1992221538938614
135,0.1595687162395563,0.1803126493506986
150,0.1487838209678106,0.16812571769362597
165,0.1430238642966404,0.16161696665520364
180,0.1444151648341518,0.16318913626259152
195,0.125070459338154,0.141329619052114
210,0.1363494712317321,0.1540749024918573
225,0.158315837536303,0.17889689641602236
240,0.146932339861523,0.16603354404352097
255,0.1525495557225468,0.17238099796647788
270,0.1612652787568773,0.18222976499527135
285,0.147906685967047,0.16713455514276312
300,0.1750460984463442,0.19780209124436893
315,0.146211975989047,0.16521953286762311
330,0.1096457573385161,0.1238997057925232
345,0.1480772617063892,0.16732730572821983
360,0.1048428474029558,0.11847241756534005
375,0.0907643566011862,0.10256372295934041
390,0.121472102079723,0.13726347535008698
405,0.096768912184922,0.10934887076896187
420,0.0650395313708431,0.0734946704490527
435,0.0606888966377734,0.06857845320068394
450,0.0512920551174351,0.05796002228270166
465,0.0570531950905972,0.06447011045237484
480,0.0274326904012723,0.0309989401534377
495,0.0607917650530061,0.06869469450989689
