Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,1.7578761827246232,1.9864000864788243
105,1.870883274148008,2.114098099787249
120,2.1271871975099765,2.4037215331862734
135,1.6991846684144245,1.9200786753083
150,1.4470299023249025,1.63514378962714
165,1.8595832275770832,2.1013290471621042
180,2.1521337893251813,2.431911181937455
195,1.335828018971488,1.5094856614377814
210,1.716533040901671,1.9396823362188882
225,1.9581414535559616,2.2126998425182367
240,1.5574877385848604,1.7599611446008923
255,1.664988595265105,1.8814371126495684
270,1.7819894992684149,2.013648134173309
285,2.0466455648607353,2.312709488292631
300,2.021664890870385,2.284481326683535
315,1.9076258752711597,2.1556172390564106
330,1.6635023009979488,1.8797576001276821
345,1.422888292345832,1.60786377035079
360,1.2009010889277172,1.3570182304883205
375,0.4746878058075741,0.5363972205625587
390,0.3925287319432007,0.44355746709581684
405,0.1385919839248818,0.15660894183511645
420,0.0791004936665233,0.08938355784317133
435,0.0,0.0
450,0.0,0.0
465,0.0,0.0
480,0.0,0.0
495,0.0,0.0
