Time (s),power_consumption
0,35.00445672113808
15,35.01368141269559
30,34.5
45,34.5
60,34.5
75,34.5
90,38.049086031868875
105,37.50059035264886
120,37.19897264636176
135,37.80408639873004
150,37.12041045754925
165,37.74462489820911
180,37.72677831475587
195,37.3765905497344
210,38.54892913587009
225,37.31226211366066
240,37.694728910970206
255,36.89933981061708
270,36.7597371022271
285,37.816514074642775
300,38.29864951407567
315,37.59520363255953
330,38.14484426289713
345,37.90590050224324
360,37.429131896519806
375,37.57954158681657
390,36.78381611162097
405,35.80132260315691
420,35.12259440753764
435,34.77745961445855
450,34.653749554106625
465,34.54402852291175
480,34.5410413410849
495,34.5
