Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0005
15,0.0,0.0005
30,0.0,0.0005
45,0.0,0.0005
60,0.0,0.0005
75,0.0,0.0005
90,0.0,0.0005
105,0.0,0.0005
120,0.0,0.0005
135,0.0,0.0005
150,0.0,0.0005
165,0.0,0.0005
180,0.0,0.0005
195,0.0018140851952371,0.0025970734152681112
210,0.0018642671534619,0.0026550835080661893
225,0.0,0.0005
240,0.0,0.0005
255,0.0,0.0005
270,0.0,0.0005
285,0.0018053842936526,0.0025870152165409373
300,0.0,0.0005
315,0.0,0.0005
330,0.0,0.0005
345,0.0,0.0005
360,0.0,0.0005
375,0.0,0.0005
390,0.0,0.0005
405,0.0,0.0005
420,0.0,0.0005
435,0.0,0.0005
450,0.0,0.0005
465,0.0,0.0005
480,0.0,0.0005
495,0.0,0.0005
