Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0005
15,0.0,0.0005
30,0.0,0.0005
45,0.0,0.0005
60,0.0,0.0005
75,0.0,0.0005
90,0.003351248475669,0.004374026481630986
105,0.0132807531613328,0.015852484250734912
120,0.0124370073094038,0.014877118264634243
135,0.0162316549779064,0.019263711996184905
150,0.0188975530273686,0.022345476811872964
165,0.0160317955942837,0.019032675548013984
180,0.0230121882199074,0.027101974521271853
195,0.0135382401230023,0.016150137890990044
210,0.0284490120099921,0.03338691563849081
225,0.0188757906605697,0.02232031962466527
240,0.0100072695866421,0.012068353605810335
255,0.009371094423422,0.011332938298003716
270,0.0249121019207913,0.029298265259925134
285,0.0,0.0005
300,0.0,0.0005
315,0.0137609763518133,0.016407619857814415
330,0.0054239044965036,0.0067700064784356785
345,0.018123522630771,0.02145070154355812
360,0.0133124436339464,0.015889118278623868
375,0.0047977197826208,0.006046140080110731
390,0.0,0.0005
405,0.0,0.0005
420,0.0,0.0005
435,0.0,0.0005
450,0.0,0.0005
465,0.0,0.0005
480,0.0,0.0005
495,0.0,0.0005
