Time (s),CPU Utilization (%),power_consumption
0,0.0116014851682034,0.01391125884701729
15,0.0083926173805018,0.010201823728773178
30,0.0,0.0005
45,0.0090495919051223,0.010961282994361853
60,0.0113721173986442,0.0136461108522457
75,0.0099138472796942,0.011960357886090097
90,0.0152441589906081,0.01812217157234801
105,0.0153744337336782,0.01827276852396333
120,0.0134821351161968,0.016085280783647918
135,0.0272183685021859,0.03196429789668439
150,0.0182527500103811,0.021600087748250497
165,0.0174404692400085,0.020661095239103623
180,0.0146915175540161,0.01748332083485484
195,0.0227264534967608,0.026771666609988
210,0.011367422722664,0.01364068383028597
225,0.0079530716691922,0.009693711084227837
240,0.0066633795401855,0.008202833431556736
255,0.0320513204099782,0.037551166137332746
270,0.010137278299986,0.012218643028392316
285,0.0095875150824586,0.011583119497746729
300,0.0119771988366688,0.01434558196919495
315,0.0188308407934379,0.022268357803010244
330,0.024088554093087,0.028346248088838108
345,0.0214932046854983,0.025346037150412604
360,0.0107444462032921,0.01292052608877465
375,0.0178834121107516,0.021173134982968293
390,0.0033576639850761,0.004381442778428046
405,0.0108310871085561,0.013020682542055307
420,0.0098692916353047,0.011908851783954056
435,0.0033500679416042,0.004372661790154747
450,0.0037186539453552,0.004798745367560885
465,0.0,0.0005
480,0.004095214226293,0.005234047169523576
495,0.0,0.0005
