Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0005
15,0.0,0.0005
30,0.0,0.0005
45,0.0,0.0005
60,0.0,0.0005
75,0.0,0.0005
90,0.010990992984119,0.013205532934676642
105,0.0168455204987443,0.019973337468945914
120,0.0190547226579457,0.022527164118971942
135,0.0229984223488948,0.027086061243210644
150,0.0218413890887676,0.0257485365796699
165,0.0048059611414578,0.0060556670497195104
180,0.0181922978921292,0.021530205401811893
195,0.0047610763873557,0.006003780498401251
210,0.0054910803841668,0.0068476614686948985
225,0.0277141407232982,0.0325374081054291
240,0.0186307186697566,0.02203701762864528
255,0.0209684886732651,0.024739468063851088
270,0.0193824433624052,0.022906007614723597
285,0.0146090563887747,0.01738799614014161
300,0.0182784932801923,0.021629846839435897
315,0.0148525497802107,0.017669473283174666
330,0.0165106115849401,0.019586184439132834
345,0.0102150997819464,0.012308604272431129
360,0.0099691455912098,0.012024282457710573
375,0.0172379099623873,0.020426937726969907
390,0.0026066931336636,0.003513324229049453
405,0.0036622971853911,0.004733597234826185
420,0.0,0.0005
435,0.0,0.0005
450,0.0,0.0005
465,0.0,0.0005
480,0.0,0.0005
495,0.0,0.0005
