Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0005
15,0.0,0.0005
30,0.0,0.0005
45,0.0,0.0005
60,0.0,0.0005
75,0.0,0.0005
90,0.1731565559225019,0.20066811286363256
105,0.1256068422337017,0.14570088158794797
120,0.197253312275822,0.22852384272428886
135,0.2240738286235465,0.25952822551967664
150,0.1965937473196551,0.2277613889327847
165,0.1568949702749488,0.18186980116298943
180,0.2025274019705497,0.23462066404094556
195,0.157188708957164,0.1822093616109368
210,0.1661109579508012,0.1925234368363364
225,0.1512140272039851,0.17530265937767076
240,0.2486426275372869,0.2879296342199659
255,0.1727344919022829,0.2001802089665795
270,0.2011933524544547,0.2330785094705873
285,0.1939604872169262,0.22471735342033058
300,0.1827979874057345,0.21181355945109204
315,0.1804078557301358,0.2090505791847583
330,0.1797561287627773,0.20829718606912673
345,0.1798632529641885,0.20842102111033708
360,0.1629657944378187,0.18888764354114623
375,0.1120303085175462,0.1300064764947408
390,0.1178274201087678,0.136707908508635
405,0.0516012870753076,0.060150829852620206
420,0.0571143575213317,0.06652391172287182
435,0.0499297840248467,0.05821858068380265
450,0.0215139102510258,0.02536997268063457
465,0.020813188048995,0.024559941318697973
480,0.0239716159340456,0.02821106816167704
495,0.0,0.0005
