Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.07123097305854258
105,0.06432931620540468
120,0.027630870721596215
135,0.11894311473824508
150,0.11925282226976312
165,0.09301911842288861
180,0.06456584929030355
195,0.10669770704785699
210,0.08548689109447845
225,0.0700173079369728
240,0.12001111273939635
255,0.056934735672232555
270,0.09209882234863748
285,0.06419880981814224
300,0.06294042258143591
315,0.08528537851024218
330,0.07661226520575613
345,0.09252007278123102
360,0.057478620813769185
375,0.06357182473900393
390,0.12683970091315006
405,0.05617502646173698
420,0.04314440569241777
435,0.02801644679679255
450,0.0
465,0.0
480,0.0
495,0.0
