Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,13.90888272099652
105,12.462267162878325
120,14.997539838822341
135,14.306852199803439
150,13.081917091040928
165,12.679211272963185
180,15.181208668642967
195,13.783635221792588
210,14.227745536121436
225,12.136537957363222
240,13.05041662111872
255,13.548101602489007
270,14.413392186315814
285,15.443423245675307
300,14.613402845954218
315,14.739783115454792
330,15.046157218957553
345,14.273172485834078
360,12.519250026831854
375,15.450149180049708
390,11.966260718839958
405,13.36181438960048
420,2.352389606203351
435,0.0
450,0.0
465,0.0
480,0.0
495,0.0
