Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.11999402407210967
105,0.056518611860197084
120,0.05962920604011988
135,0.06231734852654361
150,0.03249322978831075
165,0.029711429468958446
180,0.08068316949797298
195,0.14742366219471179
210,0.1394422019744672
225,0.05592944606625815
240,0.15293666568543818
255,0.06459670196590393
270,0.09304882747676642
285,0.0
300,0.11842087786163814
315,0.11966408672431995
330,0.03257124591585739
345,0.10925611904346
360,0.061025698636500356
375,0.06419694290014742
390,0.091743048776822
405,0.028413077525935335
420,0.0
435,0.0
450,0.0
465,0.0
480,0.0
495,0.0
