Time (s),CPU Utilization (%)
0,0.012215497084690692
15,0.01771367106327426
30,0.015024376583630494
45,0.012273464978872849
60,0.010758823937075817
75,0.009657151280065149
90,0.013154525349838676
105,0.014743984743809089
120,0.012248914239140658
135,0.007010869085562693
150,0.011908008015828801
165,0.01208336898661953
180,0.008152867371578729
195,0.01224764390279549
210,0.012148674363632133
225,0.010419582118311657
240,0.010437348094836256
255,0.010684617188656502
270,0.005140418265816164
285,0.017733435586925302
300,0.009625017566009274
315,0.013643347398559318
330,0.006844015588079061
345,0.006833426059597902
360,0.01871487631170953
375,0.005313089906347213
390,0.005522637083077034
405,0.01350749793116299
420,0.0
435,0.0
450,0.0
465,0.0
480,0.0
495,0.0
