Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,7.555950489558641
105,7.324943580436054
120,6.568234101955409
135,6.02600983922515
150,5.83437216119981
165,5.039297556495152
180,7.396623852464595
195,5.632741836434104
210,5.14441846514888
225,7.344712093659181
240,4.135579137778712
255,5.207503100523376
270,5.117043122980135
285,6.359420871261648
300,5.767602306458384
315,5.387144100201131
330,4.536783639402015
345,5.074934248498125
360,5.941023060449407
375,6.504646126736105
390,7.587495988162408
405,5.888571420061874
420,0.24206993070125898
435,0.0
450,0.0
465,0.0
480,0.0
495,0.0
