Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,5.695329834317747
105,5.49910867289057
120,4.018529110430144
135,8.311953340452778
150,5.462018489713059
165,4.578457205981593
180,6.72241774442773
195,4.712240929633567
210,4.9404779590677235
225,5.809427562548165
240,2.6230590069402457
255,4.324600932690993
270,6.397171519766221
285,5.323158803506194
300,4.595731097945887
315,4.9642449631195715
330,6.519155244009008
345,5.311153589383536
360,7.242387143217716
375,4.710852851809014
390,4.294149320948444
405,4.869211858387313
420,0.19679991810601744
435,0.0
450,0.0
465,0.0
480,0.0
495,0.0
