Time (s),CPU Utilization (%)
0,0.0
15,0.0589459018948722
30,0.0205355340812958
45,0.0987372995115694
60,0.0402350387565844
75,0.0384400996209119
90,1.9079742896034588
105,1.6520025377987198
120,1.8734688834527038
135,1.4549476920203572
150,1.578345214089984
165,1.6320343939393533
180,1.8781463247978825
195,1.8725382903570282
210,1.841258614191784
225,1.5452014732006711
240,1.6872440171357734
255,1.7667856738305399
270,1.7854221318262926
285,1.772844551315508
300,1.4895027136265895
315,1.7569176759827614
330,1.4753778433522067
345,1.4244382260129556
360,1.3271889267027952
375,1.740081947385073
390,1.7152540399513325
405,1.6163875534861498
420,0.5525203178141417
435,0.1570530046286854
450,0.1864660134666543
465,0.2281351138342403
480,0.26790412187773993
495,0.0753155566999342
