Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.005443488368410342
105,0.009069787471697429
120,0.01085527388520726
135,0.0054918177732007105
150,0.012710694238949247
165,0.007354763259383988
180,0.005480976132482008
195,0.014628844530545896
210,0.018360442569979426
225,0.005432208377161516
240,0.012645842232485842
255,0.016362313832594955
270,0.003564458461038657
285,0.005483432042977535
300,0.0035574385818078202
315,0.005507617243778948
330,0.0036187544384153696
345,0.0182995384875136
360,0.0018663122461344485
375,0.0017788606620349375
390,0.005444135499211614
405,0.005488694945319445
420,0.010725637165626613
435,0.009109565819589327
450,0.007291913806521186
465,0.003628491936086026
480,0.00727464677902674
495,0.027917443322260465
