Time (s),CPU Utilization (%),refined_cpu
0,0.0,1.9
15,0.0589459018948722,1.958945901894872
30,0.0205355340812958,4.909679191790634
45,0.0987372995115694,6.18024768788752
60,0.0402350387565844,4.912169516141225
75,0.0384400996209119,5.792667787930379
90,1.9079742896034588,8.018942353976954
105,1.6520025377987198,7.684395893044148
120,1.873468883452704,7.267675292827568
135,1.4549476920203572,7.609976158179742
150,1.578345214089984,8.611690678469184
165,1.6320343939393531,8.528824744941927
180,1.8781463247978825,8.321497663106014
195,1.872538290357028,8.161208558018656
210,1.841258614191784,7.828426501242575
225,1.5452014732006711,6.414037267891852
240,1.6872440171357734,7.0665614364556495
255,1.76678567383054,7.909270475702622
270,1.7854221318262926,7.115426222203587
285,1.772844551315508,7.465100621566155
300,1.4895027136265897,9.12795392767672
315,1.7569176759827614,8.403974341908475
330,1.475377843352207,6.498906884028555
345,1.4244382260129556,7.929144034148226
360,1.3271889267027952,1.3271889267027952
375,1.740081947385073,1.740081947385073
390,1.7152540399513323,1.7152540399513323
405,1.6163875534861498,1.6163875534861498
420,0.5525203178141417,0.5525203178141417
435,0.1570530046286854,0.1570530046286854
450,0.1864660134666543,0.1864660134666543
465,0.2281351138342403,0.2281351138342403
480,0.2679041218777399,0.2679041218777399
495,0.0753155566999342,0.0753155566999342
